address,Year_built,Beds,Baths,Sqft,Lotsize,Price,Link
"
3516 N Creston,
    
Mesa,

Maricopa County,

AZ
85213",2016,3,2,"1,700",0.112 Ac,"
                $445,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Arboleda/3516-N-Creston/107293784.html
"
8939 W CAMINO DE ORO --,
    
Peoria,

Maricopa County,

AZ
85383",1979,3,2,"2,942",0.505 Ac,"
                $650,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Peoria/Westwing-Mountain/8939-W-CAMINO-DE-ORO-/109759336.html
"
2580 Climbing Rock Lane,
    
Bullhead City,

Mohave County,

AZ
86442",2021,2,3,"1,715",Site built 1 Story,"
                $363,930 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2580-Climbing-Rock-Lane/109752153.html
"
448 W LARONA Lane,
    
Tempe,

Maricopa County,

AZ
85284",1996,5,4,"3,458",0.157 Ac,"
                $660,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tempe/Warner-Ranch/448-W-LARONA-Lane/109756743.html
"
11279 S SANTA MARGARITA Lane,
    
Goodyear,

Maricopa County,

AZ
85338",1989,4,4,"2,759",0.379 Ac,"
                $699,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Goodyear/Estrella/11279-S-SANTA-MARGARITA-Lane/109756794.html
"
No address available,
    
Youngtown,

Maricopa County,

AZ
85363",6270507,2,2,"1,580","Ranch, Ranch","
                $217,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Youngtown/No-address-available/109759131.html
"
8345 N VIA LINDA --,
    
Scottsdale,

Maricopa County,

AZ
85258",6269114,5,4,"3,460","Contemporary, Contemporary","
                $1,995,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/McCormick-Ranch/8345-N-VIA-LINDA-/109759149.html
"
9048 E Chickamauga Street,
    
Tucson,

Pima County,

AZ
85710",22119035,4,2,"2,253","Ranch, Ranch","
                $375,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Harrison-East-South/9048-E-Chickamauga-Street/109707813.html
"
11796 N Mineral Park Way,
    
Oro Valley,

Pima County,

AZ
85737",22119234,2,3,"1,602","Santa Fe, Santa Fe","
                $315,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Pima-County/Oro-Valley/Monterra/11796-N-Mineral-Park-Way/109776884.html
"
2552 Climbing Rock Lane,
    
Bullhead City,

Mohave County,

AZ
86442",2021,3,4,"2,800",Site built 1 Story,"
                $529,737 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2552-Climbing-Rock-Lane/109752127.html
"
5763 W Michigan Street,
    
Tucson Estates,

Pima County,

AZ
85735",22117794,3,3,"2,236","Ranch, Ranch","
                $699,999 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson-Estates/5763-W-Michigan-Street/109213387.html
"
23768 W DESERT BLOOM Street,
    
Buckeye,

Maricopa County,

AZ
85326",2004,3,3,"2,154",0.141 Ac,"
                $390,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Buckeye/Sundance/23768-W-DESERT-BLOOM-Street/109756777.html
"
821 Reta St,
    
Clarkdale,

Yavapai County,

AZ
86324",527237,3,2,"1,400","Ranch, Ranch","
                $355,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Yavapai-County/821-Reta-St/109774957.html
"
8740 Country Club Drive ,
    
Pinetop Country Club,

Navajo County,

AZ
85935","
                                ",3,2.5,"2,506",2000,"
                $715,450 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Pinetop-Country-Club/8740-Country-Club-Drive-/109727304.html
"
5075 W CORTEZ Street,
    
Glendale,

Maricopa County,

AZ
85304",2021,3,3,"2,100",0.148 Ac,"
                $450,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Chaparral-Ranch/5075-W-CORTEZ-Street/109759228.html
"
1850 W GLENHAVEN Drive,
    
Phoenix,

Maricopa County,

AZ
85045",1999,3,2,"1,741",0.161 Ac,"
                $499,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Ahwatukee-Foothills/1850-W-GLENHAVEN-Drive/109756802.html
"
7110 W Veda Lane,
    
Wilhoit,

Yavapai County,

AZ
86332",1040340,3,2,"1,457",Double Wide,"
                $265,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Wilhoit/7110-W-Veda-Lane/109774099.html
"
12443 N RIVIERA Drive,
    
Sun City,

Maricopa County,

AZ
85351",6270567,2,1,"1,120","Ranch, Ranch","
                $230,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Sun-City/12443-N-RIVIERA-Drive/109759134.html
"
13515 W MEDLOCK Drive,
    
Litchfield Park,

Maricopa County,

AZ
85340",6270508,5,5,"4,592",Santa Barbara/Tuscan,"
                $699,990 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Litchfield-Park/13515-W-MEDLOCK-Drive/109756695.html
"
1121 E Desert Holly Dr,
    
San Tan Valley,

Pinal County,

AZ
85143",2005,4,3,"2,336",0.119 Ac,"
                $400,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/San-Tan-Valley/1121-E-Desert-Holly-Dr/107348424.html
"
13434 N CANTERBURY Drive,
    
Phoenix,

Maricopa County,

AZ
85023",6270360,3,2,"2,100","Contemporary, Contemporary, Ranch","
                $729,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/North-Mountain-Village/13434-N-CANTERBURY-Drive/109756928.html
