Price,address,Local_area,zipcode,latitude,longitude,beds,baths,sqft,url
"$229,900",11444 N 28th Dr APT 14,Phoenix,85029,33.591906,-112.119569,2 bds,3 ba,"1,498",https://www.zillow.com/homedetails/11444-N-28th-Dr-APT-14-Phoenix-AZ-85029/7750068_zpid/
"$294,900",107 W Camino Rancho Lucido,Sahuarita,85629,31.980608,-110.972846,4 bds,3 ba,"1,951",https://www.zillow.com/homedetails/107-W-Camino-Rancho-Lucido-Sahuarita-AZ-85629/59833790_zpid/
"$683,100",3320 E Briarwood Ter,Phoenix,85048,33.296776,-112.011239,4 bds,4 ba,"3,110",https://www.zillow.com/homedetails/3320-E-Briarwood-Ter-Phoenix-AZ-85048/67759175_zpid/
"$260,000",2401 N 70th St APT H,Scottsdale,85257,33.474553,-111.929453,2 bds,1 ba,759,https://www.zillow.com/homedetails/2401-N-70th-St-APT-H-Scottsdale-AZ-85257/7569063_zpid/
"$290,900",3781 E Sierrita Rd,San Tan Valley,85143,33.133083,-111.525826,2 bds,2 ba,"1,052",https://www.zillow.com/homedetails/3781-E-Sierrita-Rd-San-Tan-Valley-AZ-85143/67435958_zpid/
"$377,900",1120 S 225th Ln,Buckeye,85326,33.436404,-112.5364,5 bds,3 ba,"2,267",https://www.zillow.com/homedetails/1120-S-225th-Ln-Buckeye-AZ-85326/68960941_zpid/
"$344,900",43994 W Cypress Ln,Maricopa,85138,33.044359,-112.040474,3 bds,3 ba,"2,200",https://www.zillow.com/homedetails/43994-W-Cypress-Ln-Maricopa-AZ-85138/67438054_zpid/
"$269,100",1805 N 84th Ave,Phoenix,85037,33.467227,-112.240497,2 bds,1 ba,911,https://www.zillow.com/homedetails/1805-N-84th-Ave-Phoenix-AZ-85037/7487970_zpid/
"$700,900",4245 E Palo Verde St,Gilbert,85296,33.345891,-111.699151,3 bds,3 ba,"2,661",https://www.zillow.com/homedetails/4245-E-Palo-Verde-St-Gilbert-AZ-85296/125121054_zpid/
"$647,900",4645 E Runaway Bay Dr,Chandler,85249,33.212182,-111.762843,3 bds,2 ba,"2,309",https://www.zillow.com/homedetails/4645-E-Runaway-Bay-Dr-Chandler-AZ-85249/57688702_zpid/
"$534,900",2042 E Saltsage Dr,Phoenix,85048,33.294613,-112.039063,3 bds,3 ba,"1,755",https://www.zillow.com/homedetails/2042-E-Saltsage-Dr-Phoenix-AZ-85048/8257212_zpid/
"$493,200",25722 N 122nd Ave,Peoria,85383,33.718797,-112.322406,3 bds,3 ba,"2,431",https://www.zillow.com/homedetails/25722-N-122nd-Ave-Peoria-AZ-85383/95145554_zpid/
"$483,900",12999 N 93rd Dr,Peoria,85381,33.602491,-112.261229,3 bds,2 ba,"1,516",https://www.zillow.com/homedetails/12999-N-93rd-Dr-Peoria-AZ-85381/95091427_zpid/
"$428,900",14159 W Columbus Ave,Goodyear,85395,33.487811,-112.363698,4 bds,3 ba,"2,111",https://www.zillow.com/homedetails/14159-W-Columbus-Ave-Goodyear-AZ-85395/50204611_zpid/
"$444,900",6219 W Navajo Dr,Glendale,85302,33.556795,-112.19365,4 bds,3 ba,"2,183",https://www.zillow.com/homedetails/6219-W-Navajo-Dr-Glendale-AZ-85302/7704208_zpid/
"$229,900",6957 E Calle Orion,Tucson,85710,32.196886,-110.843795,3 bds,1 ba,"1,434",https://www.zillow.com/homedetails/6957-E-Calle-Orion-Tucson-AZ-85710/8544282_zpid/
"$546,800",8960 E Shangri La Rd,Scottsdale,85260,33.588638,-111.887924,3 bds,3 ba,"2,172",https://www.zillow.com/homedetails/8960-E-Shangri-La-Rd-Scottsdale-AZ-85260/8064235_zpid/
"$496,900",10259 W Townley Ave,Peoria,85345,33.564033,-112.280447,4 bds,3 ba,"2,731",https://www.zillow.com/homedetails/10259-W-Townley-Ave-Peoria-AZ-85345/240309966_zpid/
"$356,100",14223 W Yosemite Dr,Sun City West,85375,33.666107,-112.366656,2 bds,2 ba,"1,391",https://www.zillow.com/homedetails/14223-W-Yosemite-Dr-Sun-City-West-AZ-85375/8114236_zpid/
"$460,300",1685 E Deer Shadow Ln,Tucson,85737,32.39588,-110.947179,3 bds,3 ba,"2,220",https://www.zillow.com/homedetails/1685-E-Deer-Shadow-Ln-Tucson-AZ-85737/8608459_zpid/
"$456,900",658 S 223rd Ln,Buckeye,85326,33.440945,-112.532129,4 bds,3 ba,"2,267",https://www.zillow.com/homedetails/658-S-223rd-Ln-Buckeye-AZ-85326/67787107_zpid/
"$1,149,000",28835 N 64th St,Cave Creek,85331,33.747682,-111.942568,3 bds,3 ba,"3,446",https://www.zillow.com/homedetails/28835-N-64th-St-Cave-Creek-AZ-85331/82801096_zpid/
"$304,900",4852 E Euclid Ave UNIT 2,Phoenix,85044,33.36717,-111.972033,2 bds,2 ba,"1,015",https://www.zillow.com/homedetails/4852-E-Euclid-Ave-UNIT-2-Phoenix-AZ-85044/8139386_zpid/
"$559,900",11076 N Divot Dr,Tucson,85737,32.407505,-111.011067,3 bds,2 ba,"2,450",https://www.zillow.com/homedetails/11076-N-Divot-Dr-Tucson-AZ-85737/8625958_zpid/
"$375,000",6928 E Madero Ave,Mesa,85209,33.372425,-111.68483,3 bds,2 ba,"1,459",https://www.zillow.com/homedetails/6928-E-Madero-Ave-Mesa-AZ-85209/8273958_zpid/
$221K,27500 N Cochie Canyon Trl,Marana,85658,32.496499,-111.1479,2 bds,3 ba,"3,005",https://www.zillow.com/homedetails/27500-N-Cochie-Canyon-Trl-Marana-AZ-85658/2103674073_zpid/
"$175,000",2615 W Highland Ave,Phoenix,85017,33.505856,-112.115522,2 bds,2 ba,"1,088",https://www.zillow.com/homedetails/2615-W-Highland-Ave-Phoenix-AZ-85017/7765946_zpid/
"$410,000",1495 S Winslow Way,Cornville,86325,34.712303,-111.923919,4 bds,3 ba,"2,178",https://www.zillow.com/homedetails/1495-S-Winslow-Way-Cornville-AZ-86325/8780459_zpid/
